,precision,recall,f1-score,support
Grilled Chicken Breast,0.9508928571428571,0.9403973509933775,0.9456159822419534,453.0
Roasted Sweet Potato,0.95,0.945273631840796,0.9476309226932669,402.0
Steamed Broccoli,0.9489559164733179,0.9423963133640553,0.945664739884393,434.0
Quinoa,0.9482758620689655,0.9482758620689655,0.9482758620689655,406.0
Marinated Mushrooms,0.9567198177676538,0.9722222222222222,0.9644087256027555,432.0
Cherry Tomatoes,0.9592326139088729,0.9501187648456056,0.954653937947494,421.0
Fresh Spinach,0.9544303797468354,0.9568527918781726,0.9556400506970849,394.0
Feta Cheese,0.9427207637231504,0.947242206235012,0.9449760765550239,417.0
Walnuts,0.9569377990430622,0.9523809523809523,0.954653937947494,420.0
Milk,0.9382716049382716,0.9429280397022333,0.9405940594059405,403.0
Egg,0.9413333333333334,0.9338624338624338,0.9375830013280213,378.0
Bread,0.9530201342281879,0.9681818181818181,0.9605411499436303,440.0
accuracy,0.9502,0.9502,0.9502,0.9502
macro avg,0.9500659235312091,0.9500110322979703,0.9500198705263353,5000.0
weighted avg,0.950198308661563,0.9502,0.9501799579156476,5000.0
